Target distance: 78, Step size: 1
642: (x,y) = (1.15443, 3.08752)
643: (x,y) = (1.73677, 2.27457)
644: (x,y) = (2.60365, 1.77607)
645: (x,y) = (3.60128, 1.84484)
646: (x,y) = (4.16003, 2.67418)
647: (x,y) = (4.09342, 1.6764)
648: (x,y) = (4.69194, 2.47751)
649: (x,y) = (4.99879, 1.52575)
650: (x,y) = (4.00368, 1.62449)
651: (x,y) = (4.06028, 2.62288)
652: (x,y) = (5.04295, 2.80824)
653: (x,y) = (4.36826, 2.07014)
654: (x,y) = (3.91188, 2.95992)
655: (x,y) = (4.65815, 2.29428)
656: (x,y) = (3.7327, 2.67314)
657: (x,y) = (3.2162, 3.52943)
658: (x,y) = (2.41639, 2.92918)
659: (x,y) = (3.07941, 2.18057)
660: (x,y) = (2.11984, 2.46204)
661: (x,y) = (1.41398, 3.17039)
662: (x,y) = (0.614168, 2.57013)
663: (x,y) = (-0.138738, 3.22826)
664: (x,y) = (-0.0878132, 2.22956)
665: (x,y) = (0.510705, 3.03067)
666: (x,y) = (0.341627, 2.04507)
667: (x,y) = (0.110694, 3.01804)
668: (x,y) = (-0.706026, 3.59507)
669: (x,y) = (-1.68389, 3.38581)
670: (x,y) = (-2.67811, 3.27844)
671: (x,y) = (-3.18225, 4.14206)
672: (x,y) = (-2.82935, 3.2064)
673: (x,y) = (-3.21022, 4.13103)
674: (x,y) = (-2.80172, 5.04379)
675: (x,y) = (-2.78519, 4.04392)
676: (x,y) = (-3.22874, 4.94017)
677: (x,y) = (-3.89923, 5.68209)
678: (x,y) = (-4.8911, 5.55481)
679: (x,y) = (-4.94336, 4.55618)
680: (x,y) = (-4.47306, 5.43868)
681: (x,y) = (-4.83532, 6.37076)
682: (x,y) = (-5.03264, 7.3511)
683: (x,y) = (-6.03263, 7.34676)
684: (x,y) = (-5.05102, 7.15583)
685: (x,y) = (-5.71078, 6.40435)
686: (x,y) = (-5.94724, 5.43271)
687: (x,y) = (-6.78333, 5.9813)
688: (x,y) = (-6.91277, 6.97289)
689: (x,y) = (-7.33827, 7.87785)
690: (x,y) = (-7.65464, 8.82648)
691: (x,y) = (-6.66618, 8.97791)
692: (x,y) = (-6.83525, 7.99231)
693: (x,y) = (-6.5421, 8.94838)
694: (x,y) = (-6.76458, 7.97344)
695: (x,y) = (-7.76285, 7.91467)
696: (x,y) = (-8.48671, 7.22472)
697: (x,y) = (-9.46336, 7.43953)
698: (x,y) = (-8.63768, 8.00367)
699: (x,y) = (-7.68974, 8.3221)
700: (x,y) = (-6.7045, 8.49332)
701: (x,y) = (-7.33802, 7.71959)
702: (x,y) = (-8.09092, 8.37772)
703: (x,y) = (-7.44968, 9.14506)
704: (x,y) = (-7.46188, 10.145)
705: (x,y) = (-6.78818, 9.40598)
706: (x,y) = (-6.59511, 10.3872)
707: (x,y) = (-7.48589, 9.93271)
708: (x,y) = (-7.60106, 10.9261)
709: (x,y) = (-6.63872, 11.1979)
710: (x,y) = (-7.36258, 10.5079)
711: (x,y) = (-7.42918, 9.51017)
712: (x,y) = (-8.03117, 10.3087)
713: (x,y) = (-7.90604, 11.3008)
714: (x,y) = (-8.87612, 11.058)
715: (x,y) = (-9.46658, 11.8651)
716: (x,y) = (-8.7782, 11.1397)
717: (x,y) = (-8.99514, 12.1159)
718: (x,y) = (-8.05871, 12.4668)
719: (x,y) = (-8.98951, 12.8323)
720: (x,y) = (-9.78061, 12.2206)
721: (x,y) = (-10.4361, 12.9759)
722: (x,y) = (-10.3166, 11.983)
723: (x,y) = (-10.9345, 12.7693)
724: (x,y) = (-10.2715, 12.0207)
725: (x,y) = (-11.2688, 11.9476)
726: (x,y) = (-10.756, 12.8061)
727: (x,y) = (-11.7479, 12.6788)
728: (x,y) = (-10.7485, 12.7132)
729: (x,y) = (-10.8094, 13.7114)
730: (x,y) = (-11.7091, 13.2749)
731: (x,y) = (-12.0714, 14.207)
732: (x,y) = (-11.7591, 15.157)
733: (x,y) = (-12.0095, 16.1251)
734: (x,y) = (-12.0274, 15.1253)
735: (x,y) = (-12.9909, 15.3929)
736: (x,y) = (-12.6008, 16.3137)
737: (x,y) = (-11.6232, 16.1031)
738: (x,y) = (-12.1099, 16.9767)
739: (x,y) = (-12.2648, 15.9887)
740: (x,y) = (-11.2937, 16.2273)
741: (x,y) = (-10.3013, 16.1043)
742: (x,y) = (-10.216, 15.108)
743: (x,y) = (-10.9911, 15.7398)
744: (x,y) = (-10.7784, 16.7169)
745: (x,y) = (-11.2949, 17.5732)
746: (x,y) = (-10.3273, 17.8257)
747: (x,y) = (-11.0802, 18.4838)
748: (x,y) = (-11.8041, 17.7939)
749: (x,y) = (-11.1262, 18.529)
750: (x,y) = (-10.5556, 19.3503)
751: (x,y) = (-10.5822, 20.3499)
752: (x,y) = (-10.3082, 19.3882)
753: (x,y) = (-9.42471, 18.9198)
754: (x,y) = (-8.58317, 18.3796)
755: (x,y) = (-9.12152, 17.5369)
756: (x,y) = (-10.0937, 17.7712)
757: (x,y) = (-9.19839, 18.2167)
758: (x,y) = (-8.93831, 19.1823)
759: (x,y) = (-8.79894, 18.1921)
760: (x,y) = (-9.4435, 18.9566)
761: (x,y) = (-8.58098, 19.4626)
762: (x,y) = (-9.3108, 20.1463)
763: (x,y) = (-8.67393, 19.3753)
764: (x,y) = (-9.13536, 18.4881)
765: (x,y) = (-8.57662, 19.3175)
766: (x,y) = (-9.13896, 20.1444)
767: (x,y) = (-8.50209, 19.3734)
768: (x,y) = (-7.91514, 20.183)
769: (x,y) = (-8.33277, 19.2744)
770: (x,y) = (-7.56404, 18.6348)
771: (x,y) = (-7.21928, 19.5735)
772: (x,y) = (-6.24952, 19.3295)
773: (x,y) = (-6.66715, 18.4208)
774: (x,y) = (-5.92088, 17.7552)
775: (x,y) = (-6.92058, 17.7308)
776: (x,y) = (-7.48292, 18.5577)
777: (x,y) = (-6.51677, 18.2997)
778: (x,y) = (-5.74804, 17.6602)
779: (x,y) = (-4.77046, 17.4496)
780: (x,y) = (-3.92586, 17.985)
781: (x,y) = (-4.50002, 18.8037)
782: (x,y) = (-5.45545, 18.5085)
783: (x,y) = (-5.04695, 19.4212)
784: (x,y) = (-5.34425, 20.376)
785: (x,y) = (-6.30776, 20.6437)
786: (x,y) = (-5.61938, 19.9183)
787: (x,y) = (-4.78568, 20.4706)
788: (x,y) = (-5.71854, 20.1103)
789: (x,y) = (-6.46192, 20.7792)
790: (x,y) = (-5.7989, 20.0306)
791: (x,y) = (-5.60584, 21.0118)
792: (x,y) = (-5.50062, 20.0173)
793: (x,y) = (-5.64991, 21.0061)
794: (x,y) = (-4.78738, 21.5121)
795: (x,y) = (-5.71818, 21.8777)
796: (x,y) = (-6.62164, 22.3063)
797: (x,y) = (-7.5251, 22.735)
798: (x,y) = (-7.99923, 23.6155)
799: (x,y) = (-7.2763, 22.9245)
800: (x,y) = (-8.20176, 23.3034)
801: (x,y) = (-9.19597, 23.196)
802: (x,y) = (-8.39019, 23.7882)
803: (x,y) = (-9.30206, 24.1987)
804: (x,y) = (-9.1912, 25.1926)
805: (x,y) = (-8.1981, 25.3099)
806: (x,y) = (-7.27649, 24.9218)
807: (x,y) = (-6.56357, 24.2205)
808: (x,y) = (-6.72704, 25.2071)
809: (x,y) = (-6.18503, 26.0475)
810: (x,y) = (-5.4721, 25.3462)
811: (x,y) = (-6.25972, 25.9624)
812: (x,y) = (-5.9203, 25.0218)
813: (x,y) = (-6.80847, 25.4813)
814: (x,y) = (-6.09554, 24.78)
815: (x,y) = (-5.41765, 25.5152)
816: (x,y) = (-4.55802, 25.0043)
817: (x,y) = (-4.5759, 24.0044)
818: (x,y) = (-5.57545, 24.0345)
819: (x,y) = (-5.43608, 23.0443)
820: (x,y) = (-6.33954, 23.4729)
821: (x,y) = (-7.10549, 24.1158)
822: (x,y) = (-7.38904, 25.0748)
823: (x,y) = (-7.22985, 26.062)
824: (x,y) = (-6.31621, 25.6555)
825: (x,y) = (-7.04602, 26.3392)
826: (x,y) = (-7.55506, 25.4784)
827: (x,y) = (-7.92261, 24.5484)
828: (x,y) = (-7.27042, 25.3065)
829: (x,y) = (-7.56772, 26.2613)
830: (x,y) = (-8.36752, 25.661)
831: (x,y) = (-7.77357, 24.8565)
832: (x,y) = (-7.21955, 24.024)
833: (x,y) = (-7.50855, 23.0667)
834: (x,y) = (-7.88942, 23.9913)
835: (x,y) = (-8.59528, 24.6997)
836: (x,y) = (-7.64286, 25.0044)
837: (x,y) = (-8.59829, 24.7092)
838: (x,y) = (-8.81522, 25.6854)
839: (x,y) = (-9.2716, 26.5752)
840: (x,y) = (-8.27219, 26.6096)
841: (x,y) = (-9.24088, 26.8579)
842: (x,y) = (-8.24779, 26.9752)
843: (x,y) = (-7.87621, 26.0468)
844: (x,y) = (-7.12993, 25.3812)
845: (x,y) = (-6.33965, 24.7684)
846: (x,y) = (-6.31744, 25.7682)
847: (x,y) = (-5.61465, 26.4796)
848: (x,y) = (-4.62706, 26.3225)
849: (x,y) = (-4.67933, 25.3239)
850: (x,y) = (-4.38618, 26.28)
851: (x,y) = (-5.29805, 26.6905)
852: (x,y) = (-6.21572, 27.0878)
853: (x,y) = (-7.21567, 27.0978)
854: (x,y) = (-6.30203, 26.6913)
855: (x,y) = (-7.09841, 27.2961)
856: (x,y) = (-6.65875, 28.1943)
857: (x,y) = (-7.35844, 27.4798)
858: (x,y) = (-6.6316, 28.1666)
859: (x,y) = (-7.02571, 29.0857)
860: (x,y) = (-7.0379, 30.0856)
861: (x,y) = (-7.20698, 29.1)
862: (x,y) = (-6.86222, 30.0387)
863: (x,y) = (-7.67057, 30.6274)
864: (x,y) = (-7.82547, 29.6395)
865: (x,y) = (-7.48605, 28.6988)
866: (x,y) = (-6.59077, 29.1443)
867: (x,y) = (-5.71135, 29.6204)
868: (x,y) = (-6.26175, 28.7855)
869: (x,y) = (-6.81215, 27.9506)
870: (x,y) = (-7.72403, 28.361)
871: (x,y) = (-6.81038, 27.9545)
872: (x,y) = (-6.06992, 28.6266)
873: (x,y) = (-6.03334, 27.6273)
874: (x,y) = (-5.85999, 26.6424)
875: (x,y) = (-6.36413, 27.5061)
876: (x,y) = (-5.41346, 27.1959)
877: (x,y) = (-5.85701, 28.0921)
878: (x,y) = (-5.97783, 27.0994)
879: (x,y) = (-5.02113, 26.8084)
880: (x,y) = (-5.67661, 27.5636)
881: (x,y) = (-4.76297, 27.157)
882: (x,y) = (-5.13052, 26.227)
883: (x,y) = (-4.66524, 25.3419)
884: (x,y) = (-4.78606, 24.3492)
885: (x,y) = (-3.90253, 23.8808)
886: (x,y) = (-3.94912, 24.8797)
887: (x,y) = (-3.02751, 24.4916)
888: (x,y) = (-2.31459, 23.7904)
889: (x,y) = (-2.90962, 22.9867)
890: (x,y) = (-3.84952, 22.6452)
891: (x,y) = (-3.18226, 23.39)
892: (x,y) = (-3.66138, 22.5123)
893: (x,y) = (-3.48803, 21.5274)
894: (x,y) = (-2.99257, 20.6588)
895: (x,y) = (-3.16165, 19.6732)
896: (x,y) = (-2.40218, 19.0227)
897: (x,y) = (-1.57164, 18.4657)
898: (x,y) = (-1.25114, 17.5185)
899: (x,y) = (-0.69712, 16.686)
900: (x,y) = (-1.51711, 16.1136)
901: (x,y) = (-2.48719, 15.8708)
902: (x,y) = (-2.14777, 14.9302)
903: (x,y) = (-1.15123, 15.0133)
904: (x,y) = (-1.98253, 14.4574)
905: (x,y) = (-1.24589, 13.7811)
906: (x,y) = (-1.85241, 12.9861)
907: (x,y) = (-2.75212, 12.5496)
908: (x,y) = (-2.47273, 13.5097)
909: (x,y) = (-3.31965, 14.0415)
910: (x,y) = (-2.8417, 13.1631)
911: (x,y) = (-3.64151, 12.5628)
912: (x,y) = (-4.26385, 11.7801)
913: (x,y) = (-3.84744, 10.8709)
914: (x,y) = (-3.98251, 9.88005)
915: (x,y) = (-4.8186, 10.4286)
916: (x,y) = (-4.69911, 9.43581)
917: (x,y) = (-4.91604, 10.412)
918: (x,y) = (-5.61166, 11.1304)
919: (x,y) = (-6.07309, 10.2432)
920: (x,y) = (-5.15945, 9.83672)
921: (x,y) = (-4.26033, 9.399)
922: (x,y) = (-3.4754, 10.0186)
923: (x,y) = (-2.56769, 9.59899)
924: (x,y) = (-1.59657, 9.83755)
925: (x,y) = (-0.669476, 9.46271)
926: (x,y) = (-1.20783, 8.61999)
927: (x,y) = (-1.04864, 9.60724)
928: (x,y) = (-0.325715, 8.91632)
929: (x,y) = (-0.085041, 7.94571)
930: (x,y) = (0.825039, 8.36014)
931: (x,y) = (0.978615, 7.37201)
932: (x,y) = (0.360739, 8.15828)
933: (x,y) = (1.05947, 7.44289)
934: (x,y) = (1.80951, 8.10428)
935: (x,y) = (2.76018, 7.79409)
936: (x,y) = (3.00085, 6.82348)
937: (x,y) = (3.10607, 5.82903)
938: (x,y) = (3.71603, 5.0366)
939: (x,y) = (3.45176, 6.00105)
940: (x,y) = (3.89142, 6.89921)
941: (x,y) = (3.65496, 5.92757)
942: (x,y) = (3.99972, 6.86626)
943: (x,y) = (4.58206, 6.05332)
944: (x,y) = (3.6492, 5.69308)
945: (x,y) = (4.54831, 5.25537)
946: (x,y) = (4.33138, 6.23156)
947: (x,y) = (3.63169, 5.51711)
948: (x,y) = (3.68829, 6.51551)
949: (x,y) = (4.60194, 6.10899)
950: (x,y) = (4.12781, 6.98945)
951: (x,y) = (3.13668, 7.12236)
952: (x,y) = (3.51353, 8.04864)
953: (x,y) = (3.44693, 7.05086)
954: (x,y) = (2.52147, 7.42972)
955: (x,y) = (2.66646, 8.41915)
956: (x,y) = (2.39672, 7.45622)
957: (x,y) = (1.60033, 8.06101)
958: (x,y) = (0.646598, 8.36166)
959: (x,y) = (1.39287, 7.69602)
960: (x,y) = (1.58593, 8.67721)
961: (x,y) = (0.630504, 8.38198)
962: (x,y) = (0.244386, 7.45953)
963: (x,y) = (0.810309, 6.63508)
964: (x,y) = (0.655405, 5.64715)
965: (x,y) = (1.0083, 4.71148)
966: (x,y) = (1.48624, 3.83309)
967: (x,y) = (0.521225, 3.57092)
968: (x,y) = (-0.278584, 2.97066)
969: (x,y) = (-0.515043, 1.99902)
970: (x,y) = (0.152217, 2.74384)
971: (x,y) = (1.03164, 3.21988)
972: (x,y) = (0.862564, 2.23428)
973: (x,y) = (0.218001, 2.99883)
974: (x,y) = (0.362994, 3.98826)
975: (x,y) = (-0.511615, 3.50343)
976: (x,y) = (-0.924071, 4.41441)
977: (x,y) = (-0.520767, 3.49935)
978: (x,y) = (-0.429849, 4.4952)
979: (x,y) = (0.0480966, 3.61681)
980: (x,y) = (0.221451, 2.63195)
981: (x,y) = (0.729335, 1.77053)
982: (x,y) = (0.212841, 2.62682)
983: (x,y) = (1.19042, 2.41625)
984: (x,y) = (0.39061, 1.81599)
985: (x,y) = (1.27003, 2.29203)
986: (x,y) = (0.283135, 2.1307)
987: (x,y) = (-0.110976, 3.04976)
988: (x,y) = (-1.11068, 3.02538)
989: (x,y) = (-0.11127, 3.05978)
990: (x,y) = (-1.09817, 2.89845)
991: (x,y) = (-0.10763, 3.03567)
992: (x,y) = (0.370316, 2.15728)
993: (x,y) = (0.392532, 3.15703)
994: (x,y) = (1.09126, 2.44164)
995: (x,y) = (1.82789, 1.76535)
996: (x,y) = (1.2259, 2.56385)
997: (x,y) = (1.10508, 1.57118)
998: (x,y) = (0.216908, 2.03069)
999: (x,y) = (0.190353, 3.03033)
1000: (x,y) = (0.138085, 2.0317)
1001: (x,y) = (0.759367, 1.24811)
1002: (x,y) = (0.0846747, 0.510015)
1003: (x,y) = (0.169931, -0.486344)
1004: (x,y) = (0.192148, 0.513409)
1005: (x,y) = (0.951613, -0.137139)
1006: (x,y) = (0.255997, 0.581275)
1007: (x,y) = (-0.663919, 0.18916)
1008: (x,y) = (-0.952918, -0.768169)
1009: (x,y) = (-0.229991, -1.45909)
1010: (x,y) = (-1.1272, -1.01748)
1011: (x,y) = (-2.12547, -1.07625)
1012: (x,y) = (-2.17774, -2.07489)
1013: (x,y) = (-1.25394, -1.69201)
1014: (x,y) = (-1.06645, -2.67428)
1015: (x,y) = (-1.66149, -3.47798)
1016: (x,y) = (-1.17856, -2.60232)
1017: (x,y) = (-1.6827, -1.7387)
1018: (x,y) = (-1.93309, -0.770554)
1019: (x,y) = (-0.982419, -1.08075)
1020: (x,y) = (-1.75201, -1.71929)
1021: (x,y) = (-1.34871, -2.63435)
1022: (x,y) = (-0.348706, -2.63435)
1023: (x,y) = (-0.243493, -3.6288)
1024: (x,y) = (-0.888056, -2.86425)
1025: (x,y) = (-0.189328, -3.57964)
1026: (x,y) = (-0.784364, -4.38334)
1027: (x,y) = (0.212178, -4.30025)
1028: (x,y) = (1.11989, -4.71984)
1029: (x,y) = (0.31154, -4.13114)
1030: (x,y) = (0.0279868, -3.17218)
1031: (x,y) = (1.02799, -3.17218)
1032: (x,y) = (0.777596, -2.20404)
1033: (x,y) = (1.67671, -2.64175)
1034: (x,y) = (1.76197, -3.63811)
1035: (x,y) = (0.788499, -3.86693)
1036: (x,y) = (1.37084, -4.67988)
1037: (x,y) = (1.88361, -3.82135)
1038: (x,y) = (1.05548, -3.26081)
1039: (x,y) = (1.64944, -4.06531)
1040: (x,y) = (2.55103, -3.63271)
1041: (x,y) = (3.22892, -2.89755)
1042: (x,y) = (2.4413, -2.28138)
1043: (x,y) = (3.18177, -1.60929)
1044: (x,y) = (3.52653, -0.670596)
1045: (x,y) = (2.54056, -0.503657)
1046: (x,y) = (2.81449, -1.46541)
1047: (x,y) = (2.13341, -0.733193)
1048: (x,y) = (2.48631, -1.66886)
1049: (x,y) = (3.34883, -1.16284)
1050: (x,y) = (2.77467, -0.344098)
1051: (x,y) = (2.74244, -1.34358)
1052: (x,y) = (3.0547, -0.393582)
1053: (x,y) = (2.44818, -1.18865)
1054: (x,y) = (1.45396, -1.29602)
1055: (x,y) = (0.539769, -1.70131)
1056: (x,y) = (-0.404936, -2.02923)
1057: (x,y) = (-0.0601759, -1.09054)
1058: (x,y) = (-0.838859, -1.71796)
1059: (x,y) = (-0.631722, -2.69627)
1060: (x,y) = (-1.4434, -3.28037)
1061: (x,y) = (-1.18332, -2.31479)
1062: (x,y) = (-0.942647, -3.28539)
1063: (x,y) = (-0.565795, -2.35912)
1064: (x,y) = (-1.48347, -1.96178)
1065: (x,y) = (-2.35808, -2.44661)
1066: (x,y) = (-2.51298, -3.43454)
1067: (x,y) = (-3.38053, -3.93188)
1068: (x,y) = (-3.37836, -4.93188)
1069: (x,y) = (-4.28182, -4.5032)
1070: (x,y) = (-5.26146, -4.30244)
1071: (x,y) = (-4.53462, -3.61564)
1072: (x,y) = (-5.46221, -3.98923)
1073: (x,y) = (-4.93233, -3.14116)
1074: (x,y) = (-4.85573, -2.1441)
1075: (x,y) = (-4.61505, -3.1147)
1076: (x,y) = (-5.1364, -3.96804)
1077: (x,y) = (-5.62313, -3.09449)
1078: (x,y) = (-6.58664, -2.82683)
1079: (x,y) = (-6.46716, -3.81967)
1080: (x,y) = (-7.4051, -3.47287)
1081: (x,y) = (-6.72721, -2.73771)
1082: (x,y) = (-7.69223, -2.99989)
1083: (x,y) = (-6.74611, -3.32371)
1084: (x,y) = (-6.57276, -4.30856)
1085: (x,y) = (-5.72055, -3.78536)
1086: (x,y) = (-6.68557, -4.04754)
1087: (x,y) = (-7.37079, -4.77587)
1088: (x,y) = (-7.60172, -3.8029)
1089: (x,y) = (-8.55104, -3.48858)
1090: (x,y) = (-9.42288, -2.99879)
1091: (x,y) = (-9.19617, -2.02483)
1092: (x,y) = (-8.29706, -2.46254)
1093: (x,y) = (-8.20614, -1.46668)
1094: (x,y) = (-9.02286, -0.889645)
1095: (x,y) = (-9.81924, -0.284854)
1096: (x,y) = (-9.0692, 0.376536)
1097: (x,y) = (-10.0288, 0.658007)
1098: (x,y) = (-9.02996, 0.706765)
1099: (x,y) = (-8.51719, 1.56529)
1100: (x,y) = (-7.74846, 0.925717)
1101: (x,y) = (-7.59488, -0.0624195)
1102: (x,y) = (-7.84527, 0.905725)
1103: (x,y) = (-8.8364, 1.03864)
1104: (x,y) = (-7.86195, 0.814049)
1105: (x,y) = (-8.84643, 0.638558)
1106: (x,y) = (-9.12998, 1.59751)
1107: (x,y) = (-8.23724, 1.14693)
1108: (x,y) = (-7.45585, 0.522902)
1109: (x,y) = (-6.5079, 0.841339)
1110: (x,y) = (-6.67698, -0.144264)
1111: (x,y) = (-7.33674, -0.89574)
1112: (x,y) = (-6.92824, 0.0170188)
1113: (x,y) = (-7.05767, 1.00861)
1114: (x,y) = (-7.92523, 0.511265)
1115: (x,y) = (-6.94765, 0.300691)
1116: (x,y) = (-7.49806, -0.534207)
1117: (x,y) = (-8.38623, -0.0747001)
1118: (x,y) = (-7.59595, -0.687444)
1119: (x,y) = (-6.65651, -1.03017)
1120: (x,y) = (-6.21685, -0.132002)
1121: (x,y) = (-6.7625, 0.706011)
1122: (x,y) = (-7.72601, 0.97367)
1123: (x,y) = (-7.05875, 1.7185)
1124: (x,y) = (-6.34583, 1.01726)
1125: (x,y) = (-5.58636, 0.366711)
1126: (x,y) = (-5.10841, -0.511679)
1127: (x,y) = (-4.10862, -0.531726)
1128: (x,y) = (-4.71513, -1.3268)
1129: (x,y) = (-4.2322, -0.451137)
1130: (x,y) = (-3.70232, 0.396935)
1131: (x,y) = (-4.62224, 0.00481987)
1132: (x,y) = (-3.6828, -0.337902)
1133: (x,y) = (-3.68063, -1.3379)
1134: (x,y) = (-2.77904, -0.905307)
1135: (x,y) = (-2.72244, 0.0930903)
1136: (x,y) = (-3.10331, 1.01772)
1137: (x,y) = (-3.72565, 0.234969)
1138: (x,y) = (-3.22526, 1.10077)
1139: (x,y) = (-4.22496, 1.07638)
1140: (x,y) = (-4.39404, 0.0907811)
1141: (x,y) = (-4.04928, 1.02947)
1142: (x,y) = (-4.97473, 1.40833)
1143: (x,y) = (-4.12551, 0.880294)
1144: (x,y) = (-4.04026, -0.116065)
1145: (x,y) = (-4.49664, 0.773719)
1146: (x,y) = (-4.21725, 1.7339)
1147: (x,y) = (-5.16657, 2.04822)
1148: (x,y) = (-4.28039, 2.51157)
1149: (x,y) = (-5.1776, 2.95318)
1150: (x,y) = (-6.07481, 3.39479)
1151: (x,y) = (-7.01951, 3.06687)
1152: (x,y) = (-6.86594, 2.07873)
1153: (x,y) = (-6.45744, 2.99149)
1154: (x,y) = (-6.81159, 2.0563)
1155: (x,y) = (-5.86092, 1.74611)
1156: (x,y) = (-6.56678, 2.45445)
1157: (x,y) = (-5.98445, 1.64151)
1158: (x,y) = (-4.99685, 1.48446)
1159: (x,y) = (-4.04443, 1.78925)
1160: (x,y) = (-3.05134, 1.90658)
1161: (x,y) = (-3.98214, 2.27211)
1162: (x,y) = (-4.73878, 1.61827)
1163: (x,y) = (-3.73898, 1.59822)
1164: (x,y) = (-3.54591, 2.57941)
1165: (x,y) = (-3.94524, 1.6626)
1166: (x,y) = (-4.91871, 1.43378)
1167: (x,y) = (-4.59822, 0.486532)
1168: (x,y) = (-5.29791, -0.227917)
1169: (x,y) = (-4.29801, -0.213553)
1170: (x,y) = (-5.08911, -0.825234)
1171: (x,y) = (-5.83249, -0.15636)
1172: (x,y) = (-5.6733, 0.830888)
1173: (x,y) = (-4.78713, 1.29425)
1174: (x,y) = (-5.61843, 0.738418)
1175: (x,y) = (-4.62375, 0.841473)
1176: (x,y) = (-4.92647, -0.111606)
1177: (x,y) = (-4.22369, 0.599799)
1178: (x,y) = (-5.20716, 0.780883)
1179: (x,y) = (-4.32098, 1.24424)
1180: (x,y) = (-5.26569, 0.916317)
1181: (x,y) = (-4.93982, 1.86173)
1182: (x,y) = (-5.59958, 1.11025)
1183: (x,y) = (-6.29926, 0.395806)
1184: (x,y) = (-6.7299, -0.50672)
1185: (x,y) = (-7.34778, 0.279556)
1186: (x,y) = (-8.11737, -0.358982)
1187: (x,y) = (-7.24766, 0.134591)
1188: (x,y) = (-8.24736, 0.110204)
1189: (x,y) = (-9.004, -0.543633)
1190: (x,y) = (-8.32611, 0.191531)
1191: (x,y) = (-9.31059, 0.0160398)
1192: (x,y) = (-9.91258, 0.814544)
1193: (x,y) = (-9.94482, -0.184936)
1194: (x,y) = (-9.49738, -1.07925)
1195: (x,y) = (-10.3815, -1.54645)
1196: (x,y) = (-10.4824, -2.54135)
1197: (x,y) = (-11.2484, -1.89844)
1198: (x,y) = (-12.0845, -1.34985)
1199: (x,y) = (-12.8504, -0.70695)
1200: (x,y) = (-13.6255, -0.0751163)
1201: (x,y) = (-12.6672, 0.210517)
1202: (x,y) = (-11.7656, 0.64311)
1203: (x,y) = (-10.8889, 0.162081)
1204: (x,y) = (-11.7704, 0.634297)
1205: (x,y) = (-10.7959, 0.409704)
1206: (x,y) = (-10.705, 1.40556)
1207: (x,y) = (-11.5865, 1.87778)
1208: (x,y) = (-12.3524, 2.52068)
1209: (x,y) = (-12.6222, 1.55775)
1210: (x,y) = (-13.6221, 1.56778)
1211: (x,y) = (-12.676, 1.24396)
1212: (x,y) = (-12.3829, 2.20002)
1213: (x,y) = (-13.2947, 2.6105)
1214: (x,y) = (-14.0945, 2.01024)
1215: (x,y) = (-13.3351, 1.3597)
1216: (x,y) = (-12.4829, 1.8829)
1217: (x,y) = (-13.4802, 1.8098)
1218: (x,y) = (-12.4986, 1.61887)
1219: (x,y) = (-13.3186, 1.04649)
1220: (x,y) = (-14.222, 1.47516)
1221: (x,y) = (-15.0502, 2.03571)
1222: (x,y) = (-14.4796, 2.85693)
1223: (x,y) = (-14.108, 1.92853)
1224: (x,y) = (-15.0573, 2.24285)
1225: (x,y) = (-14.0579, 2.27726)
1226: (x,y) = (-14.9226, 2.77952)
1227: (x,y) = (-14.5141, 3.69228)
1228: (x,y) = (-15.0231, 2.83154)
1229: (x,y) = (-14.3306, 3.55297)
1230: (x,y) = (-13.6177, 2.85173)
1231: (x,y) = (-14.3611, 3.52061)
1232: (x,y) = (-15.3471, 3.68754)
1233: (x,y) = (-15.3248, 4.6873)
1234: (x,y) = (-15.6548, 5.63129)
1235: (x,y) = (-15.3101, 6.56998)
1236: (x,y) = (-15.0974, 7.5471)
1237: (x,y) = (-14.5433, 6.7146)
1238: (x,y) = (-13.6837, 6.20369)
1239: (x,y) = (-14.4748, 5.59201)
1240: (x,y) = (-13.8925, 4.77906)
1241: (x,y) = (-14.1289, 3.80742)
1242: (x,y) = (-13.535, 3.00292)
1243: (x,y) = (-12.5986, 3.35378)
1244: (x,y) = (-12.0116, 4.16341)
1245: (x,y) = (-11.9607, 3.1647)
1246: (x,y) = (-11.9184, 4.16381)
1247: (x,y) = (-11.8418, 5.16087)
1248: (x,y) = (-12.1391, 6.11566)
1249: (x,y) = (-13.1364, 6.04256)
1250: (x,y) = (-12.4692, 6.78738)
1251: (x,y) = (-11.5278, 7.12476)
1252: (x,y) = (-10.6609, 6.62625)
1253: (x,y) = (-10.8919, 7.59922)
1254: (x,y) = (-10.2035, 6.87387)
1255: (x,y) = (-11.0118, 7.46257)
1256: (x,y) = (-11.851, 6.91874)
1257: (x,y) = (-12.7084, 6.40411)
1258: (x,y) = (-11.9718, 5.72782)
1259: (x,y) = (-12.1887, 6.704)
1260: (x,y) = (-11.1922, 6.7871)
1261: (x,y) = (-10.2558, 7.13796)
1262: (x,y) = (-9.31632, 6.79524)
1263: (x,y) = (-9.09516, 5.82)
1264: (x,y) = (-9.45741, 6.75208)
1265: (x,y) = (-9.62089, 7.73863)
1266: (x,y) = (-8.62208, 7.78739)
1267: (x,y) = (-8.17464, 6.89307)
1268: (x,y) = (-7.57612, 7.69418)
1269: (x,y) = (-7.39717, 8.67804)
1270: (x,y) = (-7.36059, 7.67871)
